Image,brand,model,category,Page,Img Score,repairability_score,source,device_text,Release Order,Date,Summary,Note,Scorecard Version,problem,fixed_flag,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Failure_ID,usage_duration,failure_type,warranty_status,repair_cost,customer_rating,comments,series,Thickness,Dimensions (WxDxH),Weight,Colors,Operating System,Operating System Type,Display Size,Display Resolution,Pixel Density,Display Type,Display Features,Display Touchscreen,Processor,Clock-speed,Chipset,Cache,Graphic Processor,Capacity,RAM Type,RAM Speed,Memory Slots,Memory Layout,SSD Capacity,SSD Type,Battery Cell,Battery Type,Power Supply,Wireless LAN,Wi-Fi Version,Bluetooth,Bluetooth Version,Other Networking Options,HDMI Ports,USB 2.0 slots,SD Card Reader,Ethernet ports,Headphone Jack,Microphone Jack,Web-cam,Video Recording,Audio Solution,Speakers,Sound Technologies,In-built Microphone,Microphone Type,Pointing device,Keyboard,Fingerprint scanner,Face Recognition,Warranty,Sales Package,Refresh Rate,Brightness,Graphics Memory,Expandable Memory,Thunderbolt Port,VGA Port,Backlit Keyboard,HDD Capacity,HDD Speed(RPM),HDD Type,USB 3.0 slots,Secondary cam(Rear-facing),Lockport,Battery Life,USB Type C,Battery Capacity,Aspect Ratio,Number of Cores,SSD Interface,Fast Charging Support,market_status,price,device_text_clean
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/0-a-19-3-230x350.png,KXD,KXD D58,Smartphones,3.0,,1.0,repairability-final,KXD KXD D58 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kxd kxd d58 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-46-230x350.png,HONOR,STK-LX1,Smartphones,3.0,,6.5,repairability-final,HONOR STK-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,honor stk lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-35-230x350.png,SAMSUNG,SM-A105F,Smartphones,3.0,,5.7,repairability-final,SAMSUNG SM-A105F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm a105f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-34-230x350.png,HHuawei P smart Z,STK-LX1,Smartphones,3.0,,5.5,repairability-final,HHuawei P smart Z STK-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hhuawei p smart z stk lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-45-230x350.png,XIAOMI,Mi 9 Lite (128 Go),Smartphones,3.0,,7.0,repairability-final,XIAOMI Mi 9 Lite (128 Go) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi mi 9 lite 128 go smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-43-230x350.png,XIAOMI,Redmi Note 8T,Smartphones,3.0,,7.1,repairability-final,XIAOMI Redmi Note 8T Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi redmi note 8t smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-33-230x350.png,Huawei Y6 2018,ATU-L21,Smartphones,3.0,,5.5,repairability-final,Huawei Y6 2018 ATU-L21 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei y6 2018 atu l21 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-31-230x350.png,Huawei P smart Z,STK-LX1,Smartphones,3.0,,5.5,repairability-final,Huawei P smart Z STK-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p smart z stk lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/02/4-a-59-12-230x350.png,SAMSUNG,SM-A505F,Smartphones,3.0,,5.8,repairability-final,SAMSUNG SM-A505F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm a505f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/2-a-39-230x350.png,LOGICOM,HOLA_FR_1+8GO_ROUG,Smartphones,3.0,,3.0,repairability-final,LOGICOM HOLA_FR_1+8GO_ROUG Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,logicom hola fr 1 8go roug smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-42-230x350.png,Wiko,Y61 (K560),Smartphones,3.0,,6.8,repairability-final,Wiko Y61 (K560) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiko y61 k560 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-10-2-230x350.png,Huawei P40 Pro,ELS-NX9,Smartphones,3.0,,5.0,repairability-final,Huawei P40 Pro ELS-NX9 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p40 pro els nx9 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-24-2-230x350.png,Huawei Mate20 lite,SNE-LX1,Smartphones,3.0,,6.3,repairability-final,Huawei Mate20 lite SNE-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei mate20 lite sne lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-41-230x350.png,WIKO SAS,VVIEW4 (V830),Smartphones,3.0,,7.0,repairability-final,WIKO SAS VVIEW4 (V830) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiko sas vview4 v830 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-29-230x350.png,SAMSUNG,SM-A505F,Smartphones,3.0,,5.8,repairability-final,SAMSUNG SM-A505F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm a505f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-28-230x350.png,Huawei P30 Pro,VOG-L29,Smartphones,3.0,,5.2,repairability-final,Huawei P30 Pro VOG-L29 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p30 pro vog l29 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/8-a-11-230x350.png,NEVA LEAF,NEVA LEAF,Smartphones,2.0,,8.8,repairability-final,NEVA LEAF NEVA LEAF Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neva leaf neva leaf smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/iphone-13-pro-230x350.png,APPLE,APPLE,Smartphones,2.0,,6.2,repairability-final,APPLE APPLE Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple apple smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/iphone-13-indice-reparabilite-230x350.png,APPLE,APPLE,Smartphones,2.0,,6.2,repairability-final,APPLE APPLE Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple apple smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-12-4-230x350.png,XIAOMI,Redmi Note 10 5G,Smartphones,2.0,,7.3,repairability-final,XIAOMI Redmi Note 10 5G Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi redmi note 10 5g smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-12-230x350.png,Huawei P20 lite,ANE-LX1,Smartphones,2.0,,5.8,repairability-final,Huawei P20 lite ANE-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p20 lite ane lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-56-230x350.png,XIAOMI,J2 – Mi 10,Smartphones,2.0,,6.9,repairability-final,XIAOMI J2 – Mi 10 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi j2 mi 10 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-55-230x350.png,OnePlus,–,Smartphones,2.0,,6.8,repairability-final,OnePlus – Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oneplus smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-54-230x350.png,APPLE,A2411,Smartphones,2.0,,6.0,repairability-final,APPLE A2411 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple a2411 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-53-230x350.png,HMD GLOBAL OY,Nokia 6.2,Smartphones,2.0,,6.0,repairability-final,HMD GLOBAL OY Nokia 6.2 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hmd global oy nokia 6 2 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-52-230x350.png,OnePlus,OnePlus,Smartphones,2.0,,6.0,repairability-final,OnePlus OnePlus Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oneplus oneplus smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-51-230x350.png,ASUS,–,Smartphones,2.0,,6.0,repairability-final,ASUS – Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asus smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-50-230x350.png,XIAOMI,Mi 9 Lite (128 Go),Smartphones,2.0,,7.0,repairability-final,XIAOMI Mi 9 Lite (128 Go) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi mi 9 lite 128 go smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-37-230x350.png,Huawei P40,ANA-NX9,Smartphones,2.0,,5.4,repairability-final,Huawei P40 ANA-NX9 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p40 ana nx9 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/0-a-19-4-230x350.png,KXD,KXD 6A,Smartphones,2.0,,1.0,repairability-final,KXD KXD 6A Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kxd kxd 6a smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-49-230x350.png,XIAOMI,Mi A3,Smartphones,2.0,,7.1,repairability-final,XIAOMI Mi A3 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi mi a3 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-47-230x350.png,HMD GLOBAL OY,Nokia 7.2,Smartphones,2.0,,6.0,repairability-final,HMD GLOBAL OY Nokia 7.2 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hmd global oy nokia 7 2 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-34-230x350.png,XIAOMI,Redmi Note 7 (32 Go),Smartphones,4.0,,6.9,repairability-final,XIAOMI Redmi Note 7 (32 Go) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi redmi note 7 32 go smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-27-230x350.png,Samsung,SM-G985F,Smartphones,4.0,,5.8,repairability-final,Samsung SM-G985F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm g985f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/8-a-10-3-4-230x350.png,SAMSUNG,SM-A415F,Smartphones,4.0,,8.0,repairability-final,SAMSUNG SM-A415F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm a415f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-15-4-230x350.png,XIAOMI,XIAOMI,Smartphones,4.0,,7.1,repairability-final,XIAOMI XIAOMI Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi xiaomi smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-40-230x350.png,WIKO SAS,VIEW4 (V830),Smartphones,4.0,,7.0,repairability-final,WIKO SAS VIEW4 (V830) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiko sas view4 v830 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/01/8-a-11-2-2-230x350.png,SAMSUNG,SM-A415F,Smartphones,4.0,,8.0,repairability-final,SAMSUNG SM-A415F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm a415f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/6-a-79-6-5-230x350.png,XIAOMI,XIAOMI,Smartphones,4.0,,7.1,repairability-final,XIAOMI XIAOMI Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi xiaomi smartphones
