Release Order,OEM,Device,Date,Summary,Score,Note,Scorecard Version
155,Google,Pixel 9,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
154,Google,Pixel 9 Pro,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
153,Google,Pixel 9 Pro XL,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
152,Google,Pixel 9 Pro Fold,2024,"+ Getting repairs started is easier thanks to outer display and back glass adhesives that release without heat.
+ Google provides a free, comprehensive service manual, replacement parts, and software calibration tools for end users.
- All repairs require carefully de-gluing (and later re-gluing) the outer display and/or back cover.
- Foldable smartphone repairs in general present challenges due to the inherent complexity of the product.",4,,2.0
151,Apple,iPhone 16,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ A novel electrically-releasing adhesive streamlines battery replacements.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
150,Apple,iPhone 16 Plus,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ A novel electrically-releasing adhesive streamlines battery replacements.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
149,Apple,iPhone 16 Pro,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
148,Apple,iPhone 16 Pro Max,2024,"""+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.""",7,,1.9
147,HMD,Skyline,2024,"+ Getting the device open is easy thanks to a novel camshaft mechanism.
+ Screen and battery repairs are well-prioritized.
+ HMD support offers replacement parts and repair instructions for common repairs.
- Battery adhesive, though mild, requires some extra effort to clean and replace during a repair.",9,,1.9
146,Google,Pixel Fold,2023,"+ Google provides a free, comprehensive service manual.
+ Genuine replacement parts and software calibration tools are available for end users.
- All repairs require carefully de-gluing (and later re-gluing) the outer display and/or back cover.
- Foldable smartphone repairs in general present challenges due to the inherent complexity of the product.",3,,1.7
145,Google,Pixel 8,2023,"+ Google provides a free public service manual and offers OEM replacement parts for common repairs.
+ The display is well-prioritized, and secures with clips even when replacement adhesive isn’t available.
The battery is stubbornly glued down, and the soldered charge port can’t be easily replaced.",6,,1.6
144,Google,Pixel 8 Pro,2023,"+ Google provides a free public service manual and offers OEM replacement parts for common repairs.
+ The display is well-prioritized, and secures with clips even when replacement adhesive isn’t available.
The battery is stubbornly glued down, and the soldered charge port can’t be easily replaced.",6,,1.6
143,Apple,iPhone 15,2023,"+ Great design prioritizes screen repairs while giving access to all other parts thru the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- DIY repairs are hobbled by pervasive parts pairing and deterrent messaging.",7,Revised,1.6
142,Apple,iPhone 15 Plus,2023,"+ Great design prioritizes screen repairs while giving access to all other parts thru the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- DIY repairs are hobbled by pervasive parts pairing and deterrent messaging.",7,Revised,1.6
141,Apple,iPhone 15 Pro,2023,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",7,Revised,1.6
140,Apple,iPhone 15 Pro Max,2023,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",7,Revised,1.6
139,Fairphone,5,2023,"+ Easy to disassemble/reassemble with basic tools—no adhesive blocks the way.
+ End users can replace the battery in a few seconds.
+ Fairphone provides a DIY service manual and offers original replacement parts.",10,,1.6
138,Google,Pixel 7a,2023,"• Google offers a free service manual and a limited set of replacement parts.
• The screen and back cover are well-prioritized for repair, but secured only with adhesive.
- The glued-down battery can be tough to access, and the soldered charge port is impractical to repair.",5,,1.6
137,Nokia,G22,2023,"+ Easily pried open for repairs, with no adhesive mess.
+ Battery replacements are well-prioritized in the design.
+ Nokia supplies parts & guides for four of the most common repairs.
- Screen repairs are do-able, but not well prioritized.",8,,1.6
136,Samsung,Galaxy S23 Ultra,2023,"+ Standard Phillips screws throughout the phone.
- The battery is still strongly glued down—the new pull tab helps only marginally.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,Provisional,1.6
135,Google,Pixel 7,2022,"+ Clips securing the display make for reliable reassembly, even when replacement adhesive isn’t available.
• Google provides no service manual, but does offer a limited set of replacement parts.
- The soldered charge port and fragile back glass are impractical to repair.",5,,1.6
134,Google,Pixel 7 Pro,2022,"+ Clips securing the display make for reliable reassembly, even when replacement adhesive isn’t available.
- The glued-down battery can be tough to access, and the soldered charge port is impractical to repair.
• Google provides no service manual, but does offer a limited set of replacement parts.",5,,1.6
