issue,predicted_label
The screen flickers after replacing the screen.,Cracked screen
My tablet was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My tablet was dropped down stairs and internal components failed.,Water/Liquid damage
My laptop loses charge overnight when using GPS.,Battery degradation
My laptop was crushed inside a bag and the battery started overheating.,Battery degradation
My laptop was dropped down stairs and the display became damaged.,Cracked screen
My phone device restarts unexpectedly when opening settings.,Software issue
The power button on my smartwatch shows signs of failure.,Hardware issue
The camera on my smartwatch works intermittently.,Hardware issue
The motherboard on my laptop produces unusual behavior.,Hardware issue
My phone loses battery health rapidly when connected to WiFi.,Battery degradation
The speaker on my laptop malfunctions during use.,Hardware issue
The USB port on my laptop produces unusual behavior.,Hardware issue
My laptop drops from full charge within hours while gaming.,Battery degradation
My tablet does not hold a charge when using GPS.,Battery degradation
The brightness changes automatically during gaming.,Unknown
My laptop gets hot while charging during online meetings.,Battery degradation
My laptop was left inside a hot car and charging no longer works.,Water/Liquid damage
The display shows distorted colors during normal use.,Cracked screen
My smartwatch system freezes randomly after installing new software.,Software issue
My tablet fell into water and charging no longer works.,Water/Liquid damage
My laptop was hit during a vehicle accident and internal components failed.,Unknown
My laptop loses battery health rapidly during video calls.,Battery degradation
My phone fell into water and the battery started overheating.,Battery degradation
My smartwatch does not hold a charge while charging.,Battery degradation
The fingerprint sensor on my smartwatch is not detected.,Hardware issue
My smartwatch system freezes randomly when opening settings.,Software issue
My phone apps keep crashing when opening settings.,Unknown
The display shows distorted colors when using social media.,Cracked screen
My tablet was left inside a hot car and charging no longer works.,Water/Liquid damage
The USB port on my phone fails randomly.,Hardware issue
My laptop was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
The keyboard on my laptop malfunctions during use.,Hardware issue
The charging port on my tablet shows signs of failure.,Hardware issue
My smartwatch loses charge overnight while watching videos.,Battery degradation
My tablet apps keep crashing when opening settings.,Unknown
My smartwatch drains quickly during normal use.,Battery degradation
My tablet takes too long to charge while charging.,Battery degradation
The screen flickers during normal use.,Cracked screen
My smartwatch dies unexpectedly during video calls.,Battery degradation
The screen flickers when exposed to sunlight.,Software issue
The brightness changes automatically during gaming.,Unknown
The charging port on my tablet shows signs of failure.,Hardware issue
My laptop device enters a boot loop during normal operation.,Software issue
The fingerprint sensor on my smartwatch shows signs of failure.,Hardware issue
My smartwatch does not hold a charge while gaming.,Battery degradation
My laptop does not hold a charge during standby.,Battery degradation
My laptop drains quickly while gaming.,Battery degradation
My tablet dies unexpectedly while watching videos.,Battery degradation
The touchscreen is unresponsive during normal use.,Cracked screen
My smartwatch system freezes randomly during startup.,Software issue
My smartwatch WiFi disconnects frequently during normal operation.,Software issue
My smartwatch gets hot while charging while gaming.,Battery degradation
The trackpad on my smartwatch shows signs of failure.,Hardware issue
My tablet powers off suddenly during normal use.,Unknown
My tablet had coffee spilled on it and the touchscreen stopped working.,Hardware issue
The USB port on my smartwatch fails randomly.,Hardware issue
My laptop was dropped on concrete and the battery started overheating.,Battery degradation
My phone was dropped on concrete and the speaker became distorted.,Hardware issue
The ghost touches occur when exposed to sunlight.,Software issue
My tablet device enters a boot loop during startup.,Software issue
My laptop Bluetooth stops working after updating.,Software issue
The display shows distorted colors randomly throughout the day.,Cracked screen
The screen flickers when using social media.,Cracked screen
My phone had coffee spilled on it and the battery started overheating.,Battery degradation
My tablet Bluetooth stops working during startup.,Software issue
My smartwatch does not hold a charge when connected to WiFi.,Battery degradation
The speaker on my laptop works intermittently.,Hardware issue
The power button on my smartwatch is not detected.,Hardware issue
The motherboard on my laptop produces unusual behavior.,Hardware issue
The camera on my laptop is physically damaged.,Hardware issue
My tablet loses battery health rapidly while charging.,Battery degradation
The fingerprint sensor on my tablet malfunctions during use.,Hardware issue
The screen flickers randomly throughout the day.,Cracked screen
My laptop powers off suddenly while charging.,Unknown
The trackpad on my smartwatch shows signs of failure.,Hardware issue
My phone does not hold a charge while watching videos.,Battery degradation
The camera on my tablet works intermittently.,Hardware issue
My phone system freezes randomly during normal operation.,Software issue
My laptop had coffee spilled on it and the display became damaged.,Cracked screen
The display shows vertical lines during gaming.,Cracked screen
My tablet software update failed during normal operation.,Software issue
The keyboard on my smartwatch became unresponsive.,Hardware issue
My laptop was hit during a vehicle accident and no longer turns on.,Unknown
My laptop drops from full charge within hours during video calls.,Battery degradation
My laptop was dropped on concrete and the speaker became distorted.,Hardware issue
The screen flickers when using social media.,Cracked screen
My laptop had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My phone was exposed to beach sand and the battery started overheating.,Battery degradation
The screen freezes after a drop.,Software issue
The touchscreen is unresponsive after an update.,Cracked screen
My laptop loses battery health rapidly during online meetings.,Battery degradation
The camera on my smartwatch is physically damaged.,Hardware issue
My laptop was dropped on concrete and several buttons stopped responding.,Water/Liquid damage
My phone powers off suddenly during standby.,Unknown
The screen cracked when exposed to sunlight.,Software issue
My smartwatch drains quickly after a software update.,Battery degradation
My phone was dropped down stairs and the touchscreen stopped working.,Hardware issue
The motherboard on my phone fails randomly.,Hardware issue
My laptop Bluetooth stops working while charging.,Software issue
The camera on my tablet shows signs of failure.,Hardware issue
My laptop loses battery health rapidly while watching videos.,Battery degradation
My phone device enters a boot loop after rebooting.,Software issue
My laptop Bluetooth stops working during startup.,Software issue
My laptop was exposed to heavy rain and charging no longer works.,Software issue
My phone screen freezes during startup.,Software issue
My smartwatch was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My smartwatch screen freezes while using multiple apps.,Software issue
My laptop was crushed inside a bag and internal components failed.,Water/Liquid damage
The charging port on my phone shows signs of failure.,Hardware issue
My tablet dies unexpectedly during normal use.,Battery degradation
My tablet had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My phone drops from full charge within hours when connected to WiFi.,Battery degradation
The keyboard on my smartwatch works intermittently.,Hardware issue
My phone was left inside a hot car and the battery started overheating.,Battery degradation
My tablet was hit during a vehicle accident and the battery started overheating.,Battery degradation
My phone was left inside a hot car and the display became damaged.,Cracked screen
My phone loses charge overnight while gaming.,Battery degradation
The camera on my laptop malfunctions during use.,Hardware issue
My smartwatch was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
The display shows vertical lines after an update.,Cracked screen
My tablet software update failed during normal operation.,Software issue
My tablet loses charge overnight during standby.,Battery degradation
