text,text_clean,issue_label,source
The screen flickers after replacing the screen.,the screen flickers after replacing the screen,Cracked screen,device_issue_dataset
My tablet was hit during a vehicle accident and the touchscreen stopped working.,my tablet was hit during a vehicle accident and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My tablet was dropped down stairs and internal components failed.,my tablet was dropped down stairs and internal components failed,Water/Liquid damage,device_issue_dataset
My laptop loses charge overnight when using GPS.,my laptop loses charge overnight when using gps,Battery degradation,device_issue_dataset
My laptop was crushed inside a bag and the battery started overheating.,my laptop was crushed inside a bag and the battery started overheating,Water/Liquid damage,device_issue_dataset
My laptop was dropped down stairs and the display became damaged.,my laptop was dropped down stairs and the display became damaged,Water/Liquid damage,device_issue_dataset
My phone device restarts unexpectedly when opening settings.,my phone device restarts unexpectedly when opening settings,Software issue,device_issue_dataset
The power button on my smartwatch shows signs of failure.,the power button on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
The camera on my smartwatch works intermittently.,the camera on my smartwatch works intermittently,Hardware issue,device_issue_dataset
The motherboard on my laptop produces unusual behavior.,the motherboard on my laptop produces unusual behavior,Hardware issue,device_issue_dataset
My phone loses battery health rapidly when connected to WiFi.,my phone loses battery health rapidly when connected to wifi,Battery degradation,device_issue_dataset
The speaker on my laptop malfunctions during use.,the speaker on my laptop malfunctions during use,Hardware issue,device_issue_dataset
The USB port on my laptop produces unusual behavior.,the usb port on my laptop produces unusual behavior,Hardware issue,device_issue_dataset
My laptop drops from full charge within hours while gaming.,my laptop drops from full charge within hours while gaming,Battery degradation,device_issue_dataset
My tablet does not hold a charge when using GPS.,my tablet does not hold a charge when using gps,Battery degradation,device_issue_dataset
The brightness changes automatically during gaming.,the brightness changes automatically during gaming,Cracked screen,device_issue_dataset
My laptop gets hot while charging during online meetings.,my laptop gets hot while charging during online meetings,Battery degradation,device_issue_dataset
My laptop was left inside a hot car and charging no longer works.,my laptop was left inside a hot car and charging no longer works,Water/Liquid damage,device_issue_dataset
The display shows distorted colors during normal use.,the display shows distorted colors during normal use,Cracked screen,device_issue_dataset
My smartwatch system freezes randomly after installing new software.,my smartwatch system freezes randomly after installing new software,Software issue,device_issue_dataset
My tablet fell into water and charging no longer works.,my tablet fell into water and charging no longer works,Water/Liquid damage,device_issue_dataset
My laptop was hit during a vehicle accident and internal components failed.,my laptop was hit during a vehicle accident and internal components failed,Water/Liquid damage,device_issue_dataset
